Date;Open;High;Low;Close;Adj Close;Volume
2016-04-04;27.605000;28.047501;27.567499;27.780001;25.921675;149424800
2016-04-05;27.377501;27.682501;27.355000;27.452499;25.616087;106314800
2016-04-06;27.557501;27.745001;27.299999;27.740000;25.884350;105616400
2016-04-07;27.487499;27.605000;27.030001;27.135000;25.319826;127207600
2016-04-08;27.227501;27.442499;27.042500;27.165001;25.347818;94326800
2016-04-11;27.242500;27.652500;27.207500;27.254999;25.431795;117630000
2016-04-12;27.334999;27.625000;27.165001;27.610001;25.763046;108929200
2016-04-13;27.700001;28.084999;27.700001;28.010000;26.136292;133029200
2016-04-14;27.905001;28.097500;27.832500;28.025000;26.150288;101895600
2016-04-15;28.027500;28.075001;27.432501;27.462500;25.625418;187756000
2016-04-18;27.222500;27.237499;26.735001;26.870001;25.072552;243286000
2016-04-19;26.969999;27.000000;26.557501;26.727501;24.939585;129539600
2016-04-20;26.660000;27.022499;26.514999;26.782499;24.990908;122444000
2016-04-21;26.732500;26.732500;26.379999;26.492500;24.720304;126210000
2016-04-22;26.252501;26.620001;26.155001;26.420000;24.652653;134732400
2016-04-25;26.250000;26.412500;26.127501;26.270000;24.512693;112126400
2016-04-26;25.977501;26.325001;25.977501;26.087500;24.342396;224064800
2016-04-27;24.000000;24.677500;23.920000;24.455000;22.819101;458408400
2016-04-28;24.402500;24.469999;23.562500;23.707500;22.121607;328970800
2016-04-29;23.497499;23.680000;23.127501;23.434999;21.867334;274126000
2016-05-02;23.492500;23.520000;23.100000;23.410000;21.844006;192640400
2016-05-03;23.549999;23.934999;23.420000;23.795000;22.203251;227325200
2016-05-04;23.799999;23.975000;23.455000;23.547501;21.972309;164102000
2016-05-05;23.500000;23.517500;23.170000;23.309999;21.883125;143562000
2016-05-06;23.342501;23.362499;22.962500;23.180000;21.761086;174799600
2016-05-09;23.250000;23.442499;23.147499;23.197500;21.777508;131745600
2016-05-10;23.332500;23.392500;23.027500;23.355000;21.925369;134747200
2016-05-11;23.370001;23.392500;23.115000;23.127501;21.711790;114876400
2016-05-12;23.180000;23.195000;22.367500;22.584999;21.202499;305258800
2016-05-13;22.500000;22.917500;22.500000;22.629999;21.244749;177571200
2016-05-16;23.097500;23.597500;22.912500;23.469999;22.033329;245039200
2016-05-17;23.637501;23.674999;23.252501;23.372499;21.941797;187667600
2016-05-18;23.540001;23.802500;23.472500;23.639999;22.192921;168249600
2016-05-19;23.660000;23.660000;23.392500;23.549999;22.108427;121768400
2016-05-20;23.660000;23.857500;23.629999;23.805000;22.347820;128104000
2016-05-23;23.967501;24.297501;23.917500;24.107500;22.631807;152074400
2016-05-24;24.305000;24.522499;24.209999;24.475000;22.976812;140560800
2016-05-25;24.667500;24.934999;24.527500;24.905001;23.380487;152675200
2016-05-26;24.920000;25.182501;24.660000;25.102501;23.565899;225324800
2016-05-27;24.860001;25.117500;24.812500;25.087500;23.551815;145364800
2016-05-31;24.900000;25.100000;24.705000;24.965000;23.436817;169228800
2016-06-01;24.754999;24.885000;24.582500;24.615000;23.108234;116693200
2016-06-02;24.400000;24.459999;24.157499;24.430000;22.934566;160766400
2016-06-03;24.447500;24.567499;24.362499;24.480000;22.981503;114019600
2016-06-06;24.497499;25.472500;24.387501;24.657499;23.148138;93170000
2016-06-07;24.812500;24.967501;24.740000;24.757500;23.242016;89638000
2016-06-08;24.754999;24.889999;24.670000;24.735001;23.220892;83392400
2016-06-09;24.625000;24.997499;24.615000;24.912500;23.387529;106405600
2016-06-10;24.632500;24.837500;24.620001;24.707500;23.195082;126851600
2016-06-13;24.672501;24.780001;24.275000;24.334999;22.845379;152082000
2016-06-14;24.330000;24.620001;24.187500;24.365000;22.873541;127727600
